"Source:","/home/czagrzebski/Projects/IIoT_Sensor_ADC/IIoT_Sensor.kicad_sch"
"Date:","Mon 25 Mar 2024 08:36:47 PM CDT"
"Tool:","Eeschema 7.0.10-7.0.10~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","33"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","4","C1, C4, C6, C8","1nF","Device:C_Polarized","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/kemet/C0805C102K5RAC7800/411146","","","","","",""
"2","2","C2, C3","1µF","Device:C_Polarized","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B105KBFNNNE/3886687","","","","","",""
"3","4","C5, C7, C11, C12","100nF","Device:C_Polarized","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874","","","","","",""
"4","2","C9, C10","4.7nF","Device:C_Polarized","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/murata-electronics/GRM2165C1H472JA01D/666693","","","","","",""
"5","1","D1","LED","Device:LED","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/150080SS75000/4489921","","","","","",""
"6","2","FB1, FB2","Ferrite","Device:FerriteBead","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/742792090/1639012","","","","","",""
"7","1","IC1","AMC130M02DFMR","Lib_AMC130:AMC130M02DFMR","Custom:AMC130M02DFMR","https://www.ti.com/lit/ds/symlink/amc130m02.pdf?ts=1703733915918&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FAMC130M02","","3.55","Texas Instruments","AMC130M02DFMR","595-AMC130M02DFMR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/AMC130M02DFMR?qs=HoCaDK9Nz5eSLJJXUYivvA%3D%3D"
"8","1","J1","MCU Input","Connector:Screw_Terminal_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/61300811121/4846839","","","","","",""
"9","1","J4","CHANNEL0","Connector:Screw_Terminal_01x02","Custom:CUI_TB001-500-02BE","https://www.digikey.com/en/products/detail/cui-devices/TB001-500-02BE/10064058","","","","","",""
"10","1","J5","CHANNEL1","Connector:Screw_Terminal_01x02","Custom:CUI_TB001-500-02BE","https://www.digikey.com/en/products/detail/cui-devices/TB001-500-02BE/10064058","","","","","",""
"11","4","R1, R9, R10, R11","100kΩ","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-07100KL/727544","","","","","",""
"12","4","R2, R3, R5, R6","49.9Ω","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-6ENF49R9V/111027","","","","","",""
"13","1","R4","27Ω","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0727RL/727779","","","","","",""
"14","1","R7","619Ω","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-07619RL/728079","","","","","",""
"15","1","R8","10kΩ","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERA-6AEB103V/1465773","","","","","",""
"16","1","R12","33Ω","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/vishay-dale/CRCW080533R0FKEA/1175466","","","","","",""
"17","1","R13","68Ω","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/vishay-dale/CRCW080568R0FKEAC/7922338","","","","","",""
"18","1","Y1","FD0810004","LIB_FD0810004:FD0810004","Custom:FD0810004","https://www.digikey.com/en/products/detail/diodes-incorporated/FD0810004/2684041","","1.3","Diodes Incorporated","FD0810004","621-FD0810004","https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/FD0810004?qs=FYmA7lrD2lVzUHY%252Bf%252BYj%252BA%3D%3D"
